uid,Produktbereich,Produktbereich Langfassung,Produktgruppe,Produktteilhaushalt,Produktteilhaushalt Langfassung,VwV-ID,VwV-Doppik Langfassung,amount,time,direction
212001020,21,"Schultraegeraufgaben",2120,21200102,"Schulkindergarten für Geistigbehinderte",02,"Zuwendungen und allgemeine Umlagen",152,2012,Ertrag
212001021,21,"Schultraegeraufgaben",2120,21200102,"Schulkindergarten für Geistigbehinderte",05,"Privatrechtliche Leistungsentgelte",3175,2012,Ertrag
212001022,21,"Schultraegeraufgaben",2120,21200102,"Schulkindergarten für Geistigbehinderte",06,"Kostenerstattungen und Kostenumlagen",13021,2012,Ertrag
212001023,21,"Schultraegeraufgaben",2120,21200102,"Schulkindergarten für Geistigbehinderte",10,"Personalaufwendungen",77451,2012,Aufwendung
212001024,21,"Schultraegeraufgaben",2120,21200102,"Schulkindergarten für Geistigbehinderte",11,"Versorgungsaufwendungen",0,2012,Aufwendung
212001025,21,"Schultraegeraufgaben",2120,21200102,"Schulkindergarten für Geistigbehinderte",12,"Aufw. für Sach-/Dienstleistungen",26734,2012,Aufwendung
212001026,21,"Schultraegeraufgaben",2120,21200102,"Schulkindergarten für Geistigbehinderte",13,"Bilanzielle Abschreibungen",3319,2012,Aufwendung
212001027,21,"Schultraegeraufgaben",2120,21200102,"Schulkindergarten für Geistigbehinderte",16,"Sonstige ordentliche Aufwendungen",1996,2012,Aufwendung
212001028,21,"Schultraegeraufgaben",2120,21200102,"Schulkindergarten für Geistigbehinderte",18,"interne Leistungen",19567,2012,Aufwendung
212001029,21,"Schultraegeraufgaben",2120,21200102,"Schulkindergarten für Geistigbehinderte",19,"Kalkulatorische Kosten",1106,2012,Aufwendung
2120010510,21,"Schultraegeraufgaben",2120,21200105,"Schulkindergarten für Sprachbehinderte",02,"Zuwendungen und allgemeine Umlagen",106,2012,Ertrag
2120010511,21,"Schultraegeraufgaben",2120,21200105,"Schulkindergarten für Sprachbehinderte",04,"Öffentl.-rechtl. Leistungsentgelte",17,2012,Ertrag
2120010512,21,"Schultraegeraufgaben",2120,21200105,"Schulkindergarten für Sprachbehinderte",05,"Privatrechtliche Leistungsentgelte",5416,2012,Ertrag
2120010513,21,"Schultraegeraufgaben",2120,21200105,"Schulkindergarten für Sprachbehinderte",06,"Kostenerstattungen und Kostenumlagen",9682,2012,Ertrag
